                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1983,                0.82151,                 1.2277,                0.85107,                0.65942,                0.79113,                0.38776,                 1.7114,                 1.1243,                 1.5428,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.2249,                0.82994,                 1.2199,                0.81666,                0.71377,                0.80384,                0.40347,                 1.7105,                 1.1004,                 1.5421,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2322,                0.81118,                 1.2368,                0.78345,                0.68478,                0.77543,                0.41213,                 1.6489,                 1.1926,                 1.4738,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2051,                0.83087,                 1.2228,                0.80159,                0.65217,                0.76328,                0.40636,                 1.6792,                 1.2088,                  1.489,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2376,                0.83331,                 1.2288,                0.79288,                0.68478,                0.78174,                0.40966,                  1.675,                 1.2805,                  1.498,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2062,                0.83725,                 1.2247,                 0.8124,                0.69036,                0.79751,                 0.4155,                 1.6993,                 1.2421,                 1.5115,               0.001406,               0.001406,               0.001406
                     62,                 1.2065,                0.82946,                 1.2066,                0.82505,                0.70054,                  0.795,                0.38254,                  1.734,                 1.1564,                 1.5313,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2423,                0.82634,                 1.2507,                0.79269,                0.69928,                0.79254,                0.38359,                 1.7644,                 1.1443,                 1.5482,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.1936,                0.81432,                 1.2168,                0.79243,                0.71377,                0.79164,                0.39787,                 1.7416,                 1.1224,                 1.5413,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.1576,                0.79944,                 1.1979,                0.82684,                0.67472,                0.78823,                0.41287,                 1.6981,                 1.1288,                 1.5219,              0.0013664,              0.0013664,              0.0013664
                     66,                  1.187,                0.77787,                 1.1938,                0.83676,                0.67391,                0.78306,                0.40855,                 1.7283,                 1.1287,                  1.551,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2347,                0.83801,                 1.2396,                 0.8622,                0.64493,                0.77725,                0.40583,                 1.7173,                 1.1501,                 1.5497,              0.0013466,              0.0013466,              0.0013466
                     68,                  1.242,                 0.8239,                 1.2343,                0.84757,                0.60507,                0.74029,                0.39248,                 1.7476,                 1.3297,                 1.5684,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1769,                0.81536,                 1.2108,                0.77222,                0.68787,                0.76458,                0.39049,                 1.6963,                 1.1799,                  1.538,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.1664,                 0.8026,                 1.2333,                0.77015,                0.68841,                0.76285,                0.37581,                 1.7421,                 1.1707,                 1.5642,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.1705,                 0.7814,                  1.203,                0.80589,                0.69203,                0.78427,                0.40828,                 1.6955,                 1.1136,                 1.5058,               0.001307,               0.001307,               0.001307
                     72,                 1.1465,                0.75944,                 1.1748,                0.78521,                0.70652,                0.79613,                0.41709,                  1.661,                 1.0785,                 1.4724,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.1443,                0.75332,                 1.2006,                0.75771,                0.77174,                0.81938,                0.41962,                 1.6751,                 1.0732,                 1.4932,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.1532,                0.74557,                 1.1843,                0.79187,                0.73913,                0.79711,                0.41634,                 1.6888,                 1.1049,                 1.5018,              0.0012773,              0.0012773,              0.0012773
